,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1502,Rp 750 Juta,Cicilan: 2 Jutaan per bulan,"Rumah Minimalis 2 Lantai Bagus di Cihanjuang, Bandung Barat","Cihanjuang, Bandung",3,2,1,LT : 63 m²,LB : 126 m²
1503,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,RUMAH BARU MINIMALIS DI TURANGGA dkt RS Muhammadiyah,"Turangga, Bandung",3,2,1,LT : 74 m²,LB : 120 m²
1504,Rp 5 Miliar,Cicilan: 18 Jutaan per bulan,Rumah asri dalam komplek yang nyaman hanya 3km dari Gedung Sate,"Cikutra, Bandung",4,3,1,LT : 250 m²,LB : 250 m²
1505,"Rp 4,95 Miliar",Cicilan: 18 Jutaan per bulan,Rumah 2 lantai dekat area kampus hanya 3km dari Gedung Sate,"Cikutra, Bandung",4,3,1,LT : 401 m²,LB : 350 m²
1506,Rp 925 Juta,Cicilan: 3 Jutaan per bulan,JUAL BUTUH RUMAH SIAP HUNI DI DE MARAKESHH CIWASTRA BANDUNG,"Ciwastra, Bandung",3,2,1,LT : 90 m²,LB : 95 m²
1507,"Rp 3,7 Miliar",Cicilan: 13 Jutaan per bulan,Rumah cantik Semi Furnished Siap Huni di Cigadung - Bandung,"Cigadung, Bandung",3,3,1,LT : 160 m²,LB : 203 m²
1508,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Rumah siap huni di cluster margacipta ciwastra,"Ciwastra, Bandung",3,2,1,LT : 98 m²,LB : 154 m²
1509,"Rp 4,5 Miliar",Cicilan: 16 Jutaan per bulan,JUAL CEPAT Villa AKTIP DENGAN VIEW KOTA BANDUNG ,"Cimenyan, Bandung",3,3,9,LT : 1135 m²,LB : 250 m²
1510,Rp 730 Juta,Cicilan: 2 Jutaan per bulan,JUAL RUMAH BARU 2 LANTAI DI CIBADUYUT BANDUNG ,"Cibaduyut, Bandung",3,2,1,LT : 60 m²,LB : 85 m²
1511,"Rp 1,2 Miliar",Cicilan: 4 Jutaan per bulan,Murah rumah siap huni di bandung kota,"Pasir Koja, Bandung",3,2,1,LT : 62 m²,LB : 96 m²
1512,Rp 635 Juta,Cicilan: 2 Jutaan per bulan,"Dijual Rumah Minimalis Dekat Kampus Upi Area Cibiru,bandung Timur","Bandung Kota, Bandung",2,1,1,LT : 98 m²,LB : 50 m²
1513,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Kembar Siap huni Rumah di Jl Kembar SHM,"Regol, Bandung",2,2,0,LT : 105 m²,LB : 95 m²
1514,Rp 27 Miliar,Cicilan: 100 Jutaan per bulan,Rumah Antik Zaman Belanda di Sayap Dago,"Dago, Bandung",5,4,10,LT : 871 m²,LB : 400 m²
1515,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,"Rumah Bagus 3 Lantai di Sariwangi, Bandung Barat","Sariwangi, Bandung",3,2,0,LT : 130 m²,LB : 130 m²
1516,Rp 877 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus SHM di Sariwangi, Cimahi Utara, Bandung","Sariwangi, Bandung",3,1,1,LT : 126 m²,LB : 66 m²
1517,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus SHM di Sariwangi, Cimahi Utara, Bandung","Sariwangi, Bandung",2,1,1,LT : 74 m²,LB : 45 m²
1518,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,RUMAH BARU MODERN MINIMALIS FULL FURNISHED DIJUAL DII KOTA BARU PARAHYANGAN ,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 120 m²,LB : 100 m²
1519,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Baru Minimalis modern Dijual Good Deal Harga Terbaik Di Komplek Setraduta,"Setra Duta, Bandung",3,3,2,LT : 127 m²,LB : 200 m²
1520,"Rp 4,95 Miliar",Cicilan: 18 Jutaan per bulan,Reposisi Harga. Rumah tropis dalam komplek di Cikutra 3km dari Gedung Sate,"Cikutra, Bandung",4,3,1,LT : 401 m²,LB : 350 m²
